"Unfallfolge","Verwendetes Verkehrsmittel","Art der Verkehrsteilnahme","Altersklasse","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Getötete Person","Motorrad","Lenker/in","10 - 19 Jahre",5,5,5,1,3,7,4,9,11,11
"Schwer verletzte Person","Motorrad","Lenker/in","10 - 19 Jahre",130,126,134,120,119,122,193,200,265,247
"Leicht verletzte Person","Motorrad","Lenker/in","10 - 19 Jahre",482,464,536,487,377,407,601,687,776,831
